Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7910,86.81415929203541,81.87897179450852,89.3,57.7,87.1,98.6,84.4,95.2,47.9,93.1,81.2,87.2,92.2,52.4,90.0,89.1,85.8,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,69685,52.734447872569426,45.71041996981865,88.2,27.7,45.2,91.6,51.2,41.6,12.3,93.1,36.1,36.1,56.5,17.1,60.8,51.8,42.3,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,17176,53.411737307871434,46.61643646493291,86.2,36.3,44.0,92.9,67.4,46.0,11.5,96.3,37.7,30.1,60.0,17.4,60.4,53.6,41.6,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,69685,71.25780297051016,68.308920771039,85.0,43.0,69.0,85.3,66.2,67.6,41.0,81.3,81.0,67.0,75.3,42.0,74.6,83.1,66.6,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,17176,72.45575221238937,70.14402200875122,86.8,46.8,69.1,86.4,69.8,68.5,40.7,82.3,84.7,70.1,76.6,43.5,75.1,85.5,69.9,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,17176,80.07102934326969,78.65152604924097,91.5,57.8,76.4,90.2,81.8,81.3,53.0,84.6,89.5,81.7,86.1,55.3,80.3,89.8,81.7,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_isruc_eeg_f4_a1_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,69685,72.51919351366865,70.76096089959916,77.1,44.6,75.9,82.2,73.2,79.7,51.4,69.4,84.9,70.2,78.4,47.7,72.5,83.5,71.7,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,17176,71.92594317652538,70.94239373812356,71.0,46.4,77.0,82.9,75.4,81.2,51.2,65.5,86.7,74.2,75.7,48.7,70.8,84.7,74.8,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,17176,79.17442943642291,77.79508880452535,87.8,56.3,75.8,93.5,79.9,84.4,51.9,83.8,82.5,83.4,86.1,54.0,79.6,87.7,81.7,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_isruc_with_channel_eeg_f4_a1_with_randomseed_4242/predict_output_transfer_sleepedf_eeg_fpz_cz_to_isruc_eeg_f4_a1_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,7910,84.55120101137801,80.40324235454361,82.8,51.7,92.0,98.2,76.8,94.9,57.5,85.6,79.9,88.7,88.4,54.5,88.7,88.1,82.3,../metadata/sleepedf_with_channel_eeg_fpz_cz_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
