Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,7910,82.01011378002528,73.9574731766472,87.6,70.3,92.4,76.6,66.8,92.1,19.8,78.0,96.9,96.5,89.8,30.9,84.6,85.6,78.9,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,7910,87.56005056890012,83.50363407177362,92.3,54.5,90.3,96.0,84.9,92.3,60.6,91.4,88.0,85.3,92.3,57.4,90.9,91.8,85.1,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_sleepedf_eeg_fpz_cz_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,7910,88.68520859671301,84.35669120005916,91.1,64.9,90.6,95.3,83.8,94.9,53.7,92.4,90.2,88.0,93.0,58.8,91.5,92.7,85.8,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,10379,64.01387416899509,56.774259585841854,65.8,58.5,68.1,47.1,64.0,73.2,12.2,73.5,66.0,74.0,69.3,20.2,70.7,55.0,68.6,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,10379,78.48540321803642,74.49024007200988,69.8,68.8,87.9,78.3,80.7,93.2,57.8,82.4,56.9,77.0,79.8,62.9,85.1,65.9,78.8,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,10379,76.90528952692938,73.23039539683332,69.8,66.4,85.4,72.7,80.0,86.5,57.7,82.0,59.0,76.8,77.3,61.7,83.6,65.2,78.3,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,11273,76.31508915106893,69.14943857565952,84.8,67.0,86.3,53.4,75.9,73.3,24.0,75.1,98.4,89.7,78.7,35.4,80.3,69.2,82.2,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_shhs1_normal_eeg_c4_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,11273,88.1043200567728,83.75988443681301,92.2,61.9,93.7,90.7,81.6,85.6,61.2,91.3,88.1,92.3,88.8,61.6,92.5,89.4,86.6,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,11273,88.96478311008605,84.83943616875878,88.7,62.2,93.6,92.7,86.2,91.8,63.5,92.4,88.1,89.2,90.3,62.8,93.0,90.4,87.7,../metadata/shhs1_normal_with_channel_eeg_c4_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_shhs1_normal_eeg_c4_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
shhs1_osa_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_shhs1_osa_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,7910,84.94310998735777,77.13393127106522,87.3,82.7,92.5,82.0,71.5,95.8,23.3,83.7,96.6,94.4,91.4,36.3,87.9,88.7,81.4,../metadata/shhs1_osa_with_channel_eeg_c4_a1_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_shhs1_osa_eeg_c4_a1_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
