source_dataset,source_channel,target_dataset,target_channel,acc_type3,mf1_type3,acc_type6,mf1_type6,acc_type9,mf1_type9
sleepedf,eeg_fpz_cz,isruc1,eeg_f4_a1,0.6237931034482759,0.5549788767729911,0.7839080459770115,0.7555994506696571,0.7766666666666666,0.7441838909166011
sleepedf,eeg_fpz_cz,mass_ss1,eeg_f4,0.6511904761904762,0.5811885761477857,0.8125850340136055,0.7467325039326441,0.8105442176870749,0.7384060982411433
sleepedf,eeg_fpz_cz,mass_ss3,eeg_f4,0.764714692227048,0.6511214422855067,0.8637112475662723,0.7964916683649428,0.8652089261644451,0.7959721611838504
sleepedf,eeg_pz_oz,sleepedf,eeg_fpz_cz,0.8702572118800626,0.6740712445326587,0.922836435981242,0.759495718719257,0.9278101463691915,0.7784790470384331
sleepedf,eeg_pz_oz,isruc1,eeg_f4_a1,0.5822988505747126,0.5319248473327952,0.7840229885057471,0.7556959300937891,0.7796551724137931,0.7498257203134704
sleepedf,eeg_pz_oz,mass_ss1,eeg_f4,0.55,0.5166742779443863,0.8125850340136055,0.7467325039326441,0.7848639455782312,0.7274259311186965
sleepedf,eeg_pz_oz,mass_ss3,eeg_f4,0.6826419050471769,0.6098470914679562,0.8638610154260895,0.7966380516213861,0.8746443013329339,0.8230423168738993
isruc1,eeg_c4_a1,sleepedf,eeg_fpz_cz,0.41120742740751265,0.3579062652318681,0.922836435981242,0.759495718719257,0.9279048837099143,0.7735275314705091
isruc1,eeg_c4_a1,isruc1,eeg_f4_a1,0.7898850574712644,0.7526267624865212,0.7839080459770115,0.7555994506696571,0.797816091954023,0.7710601385089855
isruc1,eeg_c4_a1,mass_ss1,eeg_f4,0.7520408163265306,0.7119533819640318,0.8125850340136055,0.7467325039326441,0.8192176870748299,0.7741997424577659
isruc1,eeg_c4_a1,mass_ss3,eeg_f4,0.8079976037142429,0.7494322457398003,0.8638610154260895,0.7966380516213861,0.8785382656881833,0.8214181540745967
isruc1,eeg_f3_a2,isruc1,eeg_f4_a1,0.7650574712643678,0.7372728494965609,0.7839080459770115,0.7555994506696571,0.8050574712643678,0.7757496850603902
isruc1,eeg_f4_a1,sleepedf,eeg_fpz_cz,0.7496092084695183,0.5797828540112673,0.922836435981242,0.759495718719257,0.9337785988347307,0.7900733270202976
isruc1,eeg_f4_a1,mass_ss1,eeg_f4,0.7222789115646259,0.681346816156607,0.8125850340136055,0.7467325039326441,0.8119047619047619,0.7576056602825656
isruc1,eeg_f4_a1,mass_ss3,eeg_f4,0.8036543357795417,0.7482020880261151,0.8637112475662723,0.7964916683649428,0.8830313014827018,0.8241743848282894
isruc1,eeg_o2_a1,sleepedf,eeg_fpz_cz,0.3951494481549903,0.3695311357518031,0.922836435981242,0.759495718719257,0.9308417412723224,0.7826676606409653
isruc1,eeg_o2_a1,isruc1,eeg_f4_a1,0.7403448275862069,0.7066381634959301,0.7839080459770115,0.7556022822063221,0.7703448275862069,0.7431040869755065
isruc1,eeg_o2_a1,mass_ss1,eeg_f4,0.669047619047619,0.6200981793010398,0.8125850340136055,0.7467325039326441,0.8156462585034013,0.7573074195630812
isruc1,eeg_o2_a1,mass_ss3,eeg_f4,0.7406020667964655,0.6983484579090954,0.8638610154260895,0.7966104803900397,0.881533622884529,0.833993014307503
mass_ss1,eeg_c4,sleepedf,eeg_fpz_cz,0.3661598218937994,0.33897684403897455,0.922836435981242,0.759495718719257,0.9295154185022027,0.7609910297615804
mass_ss1,eeg_c4,isruc1,eeg_f4_a1,0.6827586206896552,0.6408600703584174,0.7839080459770115,0.7556022822063221,0.7980459770114943,0.7648253722818119
mass_ss1,eeg_c4,mass_ss1,eeg_f4,0.8017006802721088,0.7544853671048656,0.8125850340136055,0.7467325039326441,0.8095238095238095,0.7426288601201386
mass_ss1,eeg_c4,mass_ss3,eeg_f4,0.829713943387749,0.768488859913976,0.8637112475662723,0.7964916683649428,0.8744945334731167,0.81003333483377
